instance_id,method,seed,condition_id,true_label,crop_side,defect_occupancy,boundary_shifted,max_side_clipped,correct,event_category
13_0,hog,not_applicable,clean,hide_craze,240,0.422222222222,True,False,True,clean_only
13_1,hog,not_applicable,clean,hide_craze,248,0.085848074922,False,False,True,clean_only
32_0,hog,not_applicable,clean,thunderstrike,705,0.276122931442,True,False,False,clean_only
32_1,hog,not_applicable,clean,thunderstrike,426,0.389671361502,True,False,False,clean_only
46_0,hog,not_applicable,clean,corrosion,794,0.0990140156971,True,False,False,clean_only
46_1,hog,not_applicable,clean,corrosion,369,0.158988256549,False,False,True,clean_only
48_0,hog,not_applicable,clean,surface_injure,483,0.220841959972,False,False,False,clean_only
51_0,hog,not_applicable,clean,craze,189,0.356261022928,True,False,False,clean_only
51_1,hog,not_applicable,clean,craze,1024,0.14740562439,True,True,False,clean_only
54_0,hog,not_applicable,clean,hide_craze,540,0.0320987654321,False,False,True,clean_only
54_1,hog,not_applicable,clean,hide_craze,357,0.0578898225957,False,False,True,clean_only
57_0,hog,not_applicable,clean,craze,452,0.184161837262,False,False,False,clean_only
57_1,hog,not_applicable,clean,surface_injure,165,0.250505050505,False,False,True,clean_only
61_0,hog,not_applicable,clean,craze,504,0.43253968254,True,False,True,clean_only
61_1,hog,not_applicable,clean,craze,398,0.438309638645,False,False,True,clean_only
61_2,hog,not_applicable,clean,craze,300,0.371111111111,False,False,True,clean_only
65_0,hog,not_applicable,clean,corrosion,1024,0.32559299469,True,True,False,clean_only
67_0,hog,not_applicable,clean,hide_craze,462,0.1443001443,False,False,True,clean_only
71_0,hog,not_applicable,clean,craze,1024,0.350883483887,True,True,True,clean_only
73_0,hog,not_applicable,clean,craze,722,0.397693004197,False,False,True,clean_only
81_0,hog,not_applicable,clean,craze,318,0.375262054507,True,False,True,clean_only
81_1,hog,not_applicable,clean,craze,513,0.404158544509,False,False,True,clean_only
81_2,hog,not_applicable,clean,craze,626,0.415003725668,True,False,True,clean_only
88_0,hog,not_applicable,clean,crack,449,0.314423043536,True,False,False,clean_only
93_0,hog,not_applicable,clean,craze,1024,0.236113548279,True,True,True,clean_only
103_0,hog,not_applicable,clean,craze,1024,0.229357719421,True,True,True,clean_only
112_0,hog,not_applicable,clean,thunderstrike,564,0.414893617021,False,False,True,clean_only
112_1,hog,not_applicable,clean,surface_injure,954,0.130677847659,True,False,True,clean_only
142_0,hog,not_applicable,clean,surface_injure,1024,0.0845003128052,True,True,False,clean_only
146_0,hog,not_applicable,clean,hide_craze,690,0.194202898551,False,False,True,clean_only
156_0,hog,not_applicable,clean,craze,413,0.401450439412,False,False,True,clean_only
161_0,hog,not_applicable,clean,corrosion,1024,0.414444923401,True,True,False,clean_only
163_0,hog,not_applicable,clean,hide_craze,207,0.196457326892,False,False,False,clean_only
166_0,hog,not_applicable,clean,craze,435,0.15632183908,False,False,False,clean_only
167_0,hog,not_applicable,clean,craze,1024,0.358008384705,True,True,True,clean_only
167_1,hog,not_applicable,clean,craze,440,0.243662190083,True,False,False,clean_only
178_0,hog,not_applicable,clean,surface_injure,414,0.230273752013,False,False,True,clean_only
178_1,hog,not_applicable,clean,surface_injure,338,0.167404852771,False,False,False,clean_only
178_2,hog,not_applicable,clean,surface_injure,1024,0.106098175049,True,True,False,clean_only
198_0,hog,not_applicable,clean,craze,1024,0.503688812256,True,True,False,clean_only
198_1,hog,not_applicable,clean,hide_craze,425,0.0955737024221,False,False,True,clean_only
209_0,hog,not_applicable,clean,hide_craze,674,0.0642450844861,True,False,True,clean_only
214_0,hog,not_applicable,clean,craze,1024,0.40452671051,True,True,True,clean_only
216_0,hog,not_applicable,clean,crack,119,0.362615634489,False,False,True,clean_only
