source_image_id,instance_id,canonical_label,class_id
2,2_0,surface_injure,2
4,4_0,crack,4
5,5_0,corrosion,1
5,5_1,corrosion,1
5,5_2,corrosion,1
8,8_0,crack,4
9,9_0,hide_craze,5
10,10_0,thunderstrike,3
10,10_1,surface_injure,2
12,12_0,crack,4
14,14_0,hide_craze,5
14,14_1,surface_injure,2
15,15_0,craze,0
17,17_0,thunderstrike,3
18,18_0,craze,0
22,22_0,surface_injure,2
25,25_0,hide_craze,5
27,27_0,surface_injure,2
27,27_1,surface_injure,2
27,27_2,surface_injure,2
28,28_0,hide_craze,5
29,29_0,hide_craze,5
30,30_0,craze,0
30,30_1,craze,0
33,33_0,crack,4
33,33_1,crack,4
34,34_0,surface_injure,2
34,34_1,hide_craze,5
35,35_0,corrosion,1
35,35_1,corrosion,1
36,36_0,hide_craze,5
36,36_1,hide_craze,5
37,37_0,thunderstrike,3
37,37_1,surface_injure,2
38,38_0,hide_craze,5
40,40_0,thunderstrike,3
42,42_0,craze,0
42,42_1,craze,0
42,42_2,craze,0
44,44_0,hide_craze,5
47,47_0,craze,0
47,47_1,craze,0
47,47_2,craze,0
49,49_0,craze,0
50,50_0,craze,0
50,50_1,craze,0
50,50_2,craze,0
52,52_0,thunderstrike,3
53,53_0,crack,4
56,56_0,hide_craze,5
56,56_1,hide_craze,5
56,56_2,hide_craze,5
56,56_3,hide_craze,5
63,63_0,surface_injure,2
63,63_1,surface_injure,2
64,64_0,corrosion,1
66,66_0,crack,4
66,66_1,crack,4
68,68_0,hide_craze,5
68,68_1,hide_craze,5
74,74_0,craze,0
76,76_0,craze,0
78,78_0,crack,4
82,82_0,crack,4
83,83_0,hide_craze,5
83,83_1,hide_craze,5
84,84_0,thunderstrike,3
86,86_0,hide_craze,5
89,89_0,crack,4
89,89_1,crack,4
90,90_0,surface_injure,2
90,90_1,surface_injure,2
90,90_2,surface_injure,2
92,92_0,crack,4
94,94_0,crack,4
94,94_1,crack,4
95,95_0,corrosion,1
95,95_1,corrosion,1
95,95_2,thunderstrike,3
97,97_0,crack,4
101,101_0,surface_injure,2
102,102_0,thunderstrike,3
104,104_0,crack,4
106,106_0,surface_injure,2
106,106_1,surface_injure,2
106,106_2,surface_injure,2
106,106_3,surface_injure,2
106,106_4,surface_injure,2
106,106_5,surface_injure,2
106,106_6,surface_injure,2
107,107_0,crack,4
107,107_1,crack,4
109,109_0,surface_injure,2
110,110_0,surface_injure,2
115,115_0,corrosion,1
115,115_1,corrosion,1
116,116_0,surface_injure,2
116,116_1,hide_craze,5
116,116_2,hide_craze,5
118,118_0,surface_injure,2
120,120_0,corrosion,1
122,122_0,hide_craze,5
122,122_1,hide_craze,5
124,124_0,hide_craze,5
125,125_0,hide_craze,5
125,125_1,hide_craze,5
126,126_0,craze,0
126,126_1,craze,0
126,126_2,craze,0
126,126_3,surface_injure,2
129,129_0,hide_craze,5
130,130_0,crack,4
130,130_1,crack,4
133,133_0,crack,4
136,136_0,crack,4
138,138_0,hide_craze,5
140,140_0,hide_craze,5
140,140_1,hide_craze,5
144,144_0,hide_craze,5
144,144_1,hide_craze,5
144,144_2,hide_craze,5
144,144_3,hide_craze,5
145,145_0,surface_injure,2
147,147_0,hide_craze,5
148,148_0,hide_craze,5
148,148_1,hide_craze,5
149,149_0,surface_injure,2
152,152_0,crack,4
152,152_1,crack,4
154,154_0,corrosion,1
154,154_1,corrosion,1
155,155_0,thunderstrike,3
155,155_1,surface_injure,2
155,155_2,surface_injure,2
155,155_3,surface_injure,2
155,155_4,surface_injure,2
158,158_0,thunderstrike,3
158,158_1,corrosion,1
160,160_0,corrosion,1
162,162_0,corrosion,1
162,162_1,corrosion,1
164,164_0,crack,4
168,168_0,crack,4
170,170_0,corrosion,1
170,170_1,corrosion,1
170,170_2,corrosion,1
171,171_0,hide_craze,5
171,171_1,hide_craze,5
172,172_0,craze,0
172,172_1,craze,0
173,173_0,craze,0
176,176_0,crack,4
176,176_1,crack,4
181,181_0,craze,0
183,183_0,crack,4
183,183_1,crack,4
184,184_0,craze,0
184,184_1,craze,0
185,185_0,hide_craze,5
185,185_1,hide_craze,5
186,186_0,thunderstrike,3
188,188_0,crack,4
188,188_1,crack,4
190,190_0,surface_injure,2
192,192_0,surface_injure,2
192,192_1,hide_craze,5
192,192_2,hide_craze,5
193,193_0,craze,0
195,195_0,craze,0
199,199_0,crack,4
201,201_0,crack,4
201,201_1,crack,4
204,204_0,thunderstrike,3
207,207_0,corrosion,1
207,207_1,corrosion,1
208,208_0,surface_injure,2
211,211_0,crack,4
211,211_1,crack,4
213,213_0,craze,0
215,215_0,craze,0
218,218_0,corrosion,1
218,218_1,corrosion,1
220,220_0,hide_craze,5
220,220_1,hide_craze,5
221,221_0,crack,4
221,221_1,crack,4
222,222_0,surface_injure,2
222,222_1,surface_injure,2
226,226_0,crack,4
229,229_0,crack,4
231,231_0,crack,4
236,236_0,craze,0
236,236_1,craze,0
237,237_0,surface_injure,2
237,237_1,hide_craze,5
239,239_0,corrosion,1
239,239_1,corrosion,1
240,240_0,hide_craze,5
240,240_1,hide_craze,5
240,240_2,hide_craze,5
240,240_3,hide_craze,5
242,242_0,craze,0
242,242_1,craze,0
244,244_0,hide_craze,5
247,247_0,surface_injure,2
251,251_0,craze,0
251,251_1,craze,0
251,251_2,craze,0
259,259_0,surface_injure,2
260,260_0,craze,0
261,261_0,craze,0
265,265_0,corrosion,1
265,265_1,corrosion,1
266,266_0,corrosion,1
266,266_1,corrosion,1
267,267_0,craze,0
267,267_1,craze,0
268,268_0,hide_craze,5
268,268_1,hide_craze,5
270,270_0,craze,0
272,272_0,corrosion,1
272,272_1,corrosion,1
277,277_0,crack,4
277,277_1,crack,4
278,278_0,corrosion,1
278,278_1,corrosion,1
280,280_0,hide_craze,5
281,281_0,hide_craze,5
281,281_1,hide_craze,5
282,282_0,corrosion,1
282,282_1,corrosion,1
282,282_2,corrosion,1
283,283_0,surface_injure,2
283,283_1,hide_craze,5
286,286_0,hide_craze,5
289,289_0,craze,0
289,289_1,craze,0
289,289_2,craze,0
290,290_0,thunderstrike,3
291,291_0,corrosion,1
292,292_0,crack,4
293,293_0,hide_craze,5
294,294_0,corrosion,1
297,297_0,crack,4
297,297_1,crack,4
299,299_0,surface_injure,2
299,299_1,hide_craze,5
299,299_2,hide_craze,5
299,299_3,hide_craze,5
299,299_4,hide_craze,5
301,301_0,surface_injure,2
303,303_0,craze,0
303,303_1,craze,0
306,306_0,craze,0
308,308_0,hide_craze,5
308,308_1,hide_craze,5
310,310_0,crack,4
311,311_0,surface_injure,2
311,311_1,surface_injure,2
311,311_2,surface_injure,2
311,311_3,surface_injure,2
311,311_4,surface_injure,2
311,311_5,surface_injure,2
312,312_0,craze,0
312,312_1,craze,0
313,313_0,corrosion,1
313,313_1,corrosion,1
315,315_0,crack,4
317,317_0,corrosion,1
317,317_1,corrosion,1
324,324_0,surface_injure,2
325,325_0,surface_injure,2
325,325_1,surface_injure,2
325,325_2,surface_injure,2
327,327_0,surface_injure,2
329,329_0,hide_craze,5
330,330_0,craze,0
334,334_0,surface_injure,2
336,336_0,thunderstrike,3
337,337_0,surface_injure,2
339,339_0,corrosion,1
342,342_0,surface_injure,2
345,345_0,surface_injure,2
345,345_1,hide_craze,5
351,351_0,hide_craze,5
351,351_1,hide_craze,5
351,351_2,craze,0
356,356_0,thunderstrike,3
357,357_0,surface_injure,2
358,358_0,craze,0
365,365_0,crack,4
367,367_0,crack,4
375,375_0,corrosion,1
376,376_0,hide_craze,5
376,376_1,hide_craze,5
376,376_2,craze,0
377,377_0,craze,0
380,380_0,craze,0
381,381_0,crack,4
383,383_0,craze,0
385,385_0,corrosion,1
385,385_1,thunderstrike,3
386,386_0,surface_injure,2
386,386_1,surface_injure,2
