source_image_id,instance_id,canonical_label,class_id
2,2_0,surface_injure,2
5,5_0,corrosion,1
5,5_1,corrosion,1
5,5_2,corrosion,1
8,8_0,crack,4
9,9_0,hide_craze,5
10,10_0,thunderstrike,3
10,10_1,surface_injure,2
12,12_0,crack,4
15,15_0,craze,0
17,17_0,thunderstrike,3
22,22_0,surface_injure,2
25,25_0,hide_craze,5
27,27_0,surface_injure,2
27,27_1,surface_injure,2
27,27_2,surface_injure,2
28,28_0,hide_craze,5
30,30_0,craze,0
30,30_1,craze,0
33,33_0,crack,4
33,33_1,crack,4
37,37_0,thunderstrike,3
37,37_1,surface_injure,2
38,38_0,hide_craze,5
40,40_0,thunderstrike,3
42,42_0,craze,0
42,42_1,craze,0
42,42_2,craze,0
44,44_0,hide_craze,5
47,47_0,craze,0
47,47_1,craze,0
47,47_2,craze,0
49,49_0,craze,0
50,50_0,craze,0
50,50_1,craze,0
50,50_2,craze,0
53,53_0,crack,4
56,56_0,hide_craze,5
56,56_1,hide_craze,5
56,56_2,hide_craze,5
56,56_3,hide_craze,5
64,64_0,corrosion,1
66,66_0,crack,4
66,66_1,crack,4
68,68_0,hide_craze,5
68,68_1,hide_craze,5
74,74_0,craze,0
84,84_0,thunderstrike,3
89,89_0,crack,4
89,89_1,crack,4
90,90_0,surface_injure,2
90,90_1,surface_injure,2
90,90_2,surface_injure,2
94,94_0,crack,4
94,94_1,crack,4
95,95_0,corrosion,1
95,95_1,corrosion,1
95,95_2,thunderstrike,3
101,101_0,surface_injure,2
106,106_0,surface_injure,2
106,106_1,surface_injure,2
106,106_2,surface_injure,2
106,106_3,surface_injure,2
106,106_4,surface_injure,2
106,106_5,surface_injure,2
106,106_6,surface_injure,2
107,107_0,crack,4
107,107_1,crack,4
110,110_0,surface_injure,2
115,115_0,corrosion,1
115,115_1,corrosion,1
116,116_0,surface_injure,2
116,116_1,hide_craze,5
116,116_2,hide_craze,5
122,122_0,hide_craze,5
122,122_1,hide_craze,5
124,124_0,hide_craze,5
125,125_0,hide_craze,5
125,125_1,hide_craze,5
126,126_0,craze,0
126,126_1,craze,0
126,126_2,craze,0
126,126_3,surface_injure,2
130,130_0,crack,4
130,130_1,crack,4
138,138_0,hide_craze,5
