source_image_id,instance_id,canonical_label,class_id
1,1_0,craze,0
2,2_0,surface_injure,2
5,5_0,corrosion,1
5,5_1,corrosion,1
5,5_2,corrosion,1
10,10_0,thunderstrike,3
10,10_1,surface_injure,2
16,16_0,craze,0
17,17_0,thunderstrike,3
22,22_0,surface_injure,2
24,24_0,craze,0
25,25_0,hide_craze,5
27,27_0,surface_injure,2
27,27_1,surface_injure,2
27,27_2,surface_injure,2
28,28_0,hide_craze,5
29,29_0,hide_craze,5
30,30_0,craze,0
30,30_1,craze,0
33,33_0,crack,4
33,33_1,crack,4
36,36_0,hide_craze,5
36,36_1,hide_craze,5
37,37_0,thunderstrike,3
37,37_1,surface_injure,2
38,38_0,hide_craze,5
41,41_0,hide_craze,5
42,42_0,craze,0
42,42_1,craze,0
42,42_2,craze,0
44,44_0,hide_craze,5
45,45_0,surface_injure,2
45,45_1,surface_injure,2
47,47_0,craze,0
47,47_1,craze,0
47,47_2,craze,0
50,50_0,craze,0
50,50_1,craze,0
50,50_2,craze,0
56,56_0,hide_craze,5
56,56_1,hide_craze,5
56,56_2,hide_craze,5
56,56_3,hide_craze,5
58,58_0,hide_craze,5
64,64_0,corrosion,1
66,66_0,crack,4
66,66_1,crack,4
74,74_0,craze,0
78,78_0,crack,4
79,79_0,craze,0
83,83_0,hide_craze,5
83,83_1,hide_craze,5
86,86_0,hide_craze,5
89,89_0,crack,4
89,89_1,crack,4
90,90_0,surface_injure,2
90,90_1,surface_injure,2
90,90_2,surface_injure,2
91,91_0,hide_craze,5
94,94_0,crack,4
94,94_1,crack,4
95,95_0,corrosion,1
95,95_1,corrosion,1
95,95_2,thunderstrike,3
106,106_0,surface_injure,2
106,106_1,surface_injure,2
106,106_2,surface_injure,2
106,106_3,surface_injure,2
106,106_4,surface_injure,2
106,106_5,surface_injure,2
106,106_6,surface_injure,2
107,107_0,crack,4
107,107_1,crack,4
113,113_0,corrosion,1
113,113_1,corrosion,1
115,115_0,corrosion,1
115,115_1,corrosion,1
116,116_0,surface_injure,2
116,116_1,hide_craze,5
116,116_2,hide_craze,5
118,118_0,surface_injure,2
120,120_0,corrosion,1
121,121_0,hide_craze,5
122,122_0,hide_craze,5
122,122_1,hide_craze,5
124,124_0,hide_craze,5
126,126_0,craze,0
126,126_1,craze,0
126,126_2,craze,0
126,126_3,surface_injure,2
129,129_0,hide_craze,5
130,130_0,crack,4
130,130_1,crack,4
136,136_0,crack,4
140,140_0,hide_craze,5
140,140_1,hide_craze,5
144,144_0,hide_craze,5
144,144_1,hide_craze,5
144,144_2,hide_craze,5
144,144_3,hide_craze,5
145,145_0,surface_injure,2
147,147_0,hide_craze,5
149,149_0,surface_injure,2
152,152_0,crack,4
152,152_1,crack,4
155,155_0,thunderstrike,3
155,155_1,surface_injure,2
155,155_2,surface_injure,2
155,155_3,surface_injure,2
155,155_4,surface_injure,2
158,158_0,thunderstrike,3
158,158_1,corrosion,1
159,159_0,crack,4
170,170_0,corrosion,1
170,170_1,corrosion,1
170,170_2,corrosion,1
172,172_0,craze,0
172,172_1,craze,0
176,176_0,crack,4
176,176_1,crack,4
180,180_0,craze,0
183,183_0,crack,4
183,183_1,crack,4
184,184_0,craze,0
184,184_1,craze,0
185,185_0,hide_craze,5
185,185_1,hide_craze,5
186,186_0,thunderstrike,3
188,188_0,crack,4
188,188_1,crack,4
190,190_0,surface_injure,2
192,192_0,surface_injure,2
192,192_1,hide_craze,5
192,192_2,hide_craze,5
193,193_0,craze,0
201,201_0,crack,4
201,201_1,crack,4
204,204_0,thunderstrike,3
208,208_0,surface_injure,2
211,211_0,crack,4
211,211_1,crack,4
218,218_0,corrosion,1
218,218_1,corrosion,1
221,221_0,crack,4
221,221_1,crack,4
227,227_0,corrosion,1
229,229_0,crack,4
232,232_0,thunderstrike,3
237,237_0,surface_injure,2
237,237_1,hide_craze,5
240,240_0,hide_craze,5
240,240_1,hide_craze,5
240,240_2,hide_craze,5
240,240_3,hide_craze,5
241,241_0,hide_craze,5
242,242_0,craze,0
242,242_1,craze,0
251,251_0,craze,0
251,251_1,craze,0
251,251_2,craze,0
267,267_0,craze,0
267,267_1,craze,0
268,268_0,hide_craze,5
268,268_1,hide_craze,5
272,272_0,corrosion,1
272,272_1,corrosion,1
277,277_0,crack,4
277,277_1,crack,4
