instance_id,source_image_id,object_index,class_id,class_name,defect_class_id,xmin,ymin,xmax,ymax,bbox_width,bbox_height,bbox_area_pixels,bbox_area_fraction,bbox_aspect_ratio,yolo_x_center,yolo_y_center,yolo_width,yolo_height,split
0_0,0,0,1,corrosion,0,304,13,848,1020,545,1008,549360,0.5239105224609375,0.5406746031746031,0.56201171875,0.50390625,0.5322265625,0.984375,validation
1_0,1,0,0,craze,0,781,430,931,763,151,334,50434,0.04809761047363281,0.45209580838323354,0.83544921875,0.58203125,0.1474609375,0.326171875,train
2_0,2,0,2,surface_injure,0,500,144,594,220,95,77,7315,0.006976127624511719,1.2337662337662338,0.53369140625,0.17724609375,0.0927734375,0.0751953125,train
3_0,3,0,1,corrosion,0,767,27,887,1016,121,990,119790,0.11424064636230469,0.12222222222222222,0.80712890625,0.5087890625,0.1181640625,0.966796875,validation
4_0,4,0,4,crack,0,336,6,642,708,307,703,215821,0.20582294464111328,0.4366998577524893,0.47705078125,0.34814453125,0.2998046875,0.6865234375,train
5_0,5,0,1,corrosion,0,5,222,361,306,357,85,30345,0.028939247131347656,4.2,0.17822265625,0.25732421875,0.3486328125,0.0830078125,train
5_1,5,1,1,corrosion,0,367,269,602,367,236,99,23364,0.022281646728515625,2.3838383838383836,0.47265625,0.31005859375,0.23046875,0.0966796875,train
5_2,5,2,1,corrosion,0,609,311,911,430,303,120,36360,0.03467559814453125,2.525,0.74169921875,0.361328125,0.2958984375,0.1171875,train
6_0,6,0,0,craze,0,456,613,714,706,259,94,24346,0.023218154907226562,2.75531914893617,0.57080078125,0.6435546875,0.2529296875,0.091796875,train
7_0,7,0,5,hide_craze,0,520,267,553,510,34,244,8296,0.00791168212890625,0.13934426229508196,0.5234375,0.37890625,0.033203125,0.23828125,validation
8_0,8,0,4,crack,0,484,60,617,658,134,599,80266,0.07654762268066406,0.22370617696160267,0.537109375,0.35009765625,0.130859375,0.5849609375,train
9_0,9,0,5,hide_craze,0,652,720,791,936,140,217,30380,0.028972625732421875,0.6451612903225806,0.7041015625,0.80810546875,0.13671875,0.2119140625,train
10_0,10,0,3,thunderstrike,0,517,336,870,472,354,137,48498,0.04625129699707031,2.5839416058394162,0.6767578125,0.39404296875,0.345703125,0.1337890625,train
10_1,10,1,2,surface_injure,0,383,931,470,975,88,45,3960,0.00377655029296875,1.9555555555555555,0.416015625,0.93017578125,0.0859375,0.0439453125,train
11_0,11,0,2,surface_injure,0,741,106,825,177,85,72,6120,0.00583648681640625,1.1805555555555556,0.76416015625,0.1376953125,0.0830078125,0.0703125,validation
12_0,12,0,4,crack,0,355,1,486,727,132,727,95964,0.09151840209960938,0.1815680880330124,0.41015625,0.35498046875,0.12890625,0.7099609375,train
13_0,13,0,5,hide_craze,0,11,649,162,808,152,160,24320,0.023193359375,0.95,0.083984375,0.7109375,0.1484375,0.15625,test
13_1,13,1,5,hide_craze,0,483,611,514,775,32,165,5280,0.005035400390625,0.19393939393939394,0.486328125,0.67626953125,0.03125,0.1611328125,test
14_0,14,0,5,hide_craze,0,170,910,272,972,103,63,6489,0.006188392639160156,1.6349206349206349,0.21533203125,0.91845703125,0.1005859375,0.0615234375,train
14_1,14,1,2,surface_injure,0,261,94,327,153,67,60,4020,0.003833770751953125,1.1166666666666667,0.28662109375,0.1201171875,0.0654296875,0.05859375,train
15_0,15,0,0,craze,0,280,166,703,280,424,115,48760,0.04650115966796875,3.6869565217391305,0.4794921875,0.21728515625,0.4140625,0.1123046875,train
16_0,16,0,0,craze,0,180,214,389,295,210,82,17220,0.016422271728515625,2.5609756097560976,0.27734375,0.248046875,0.205078125,0.080078125,train
17_0,17,0,3,thunderstrike,0,277,3,977,489,701,487,341387,0.32557201385498047,1.4394250513347022,0.61181640625,0.23974609375,0.6845703125,0.4755859375,train
18_0,18,0,0,craze,0,127,385,1009,722,883,338,298454,0.28462791442871094,2.6124260355029585,0.55419921875,0.5400390625,0.8623046875,0.330078125,train
19_0,19,0,2,surface_injure,0,311,122,369,208,59,87,5133,0.004895210266113281,0.6781609195402298,0.33154296875,0.16064453125,0.0576171875,0.0849609375,validation
19_1,19,1,2,surface_injure,0,205,663,894,999,690,337,232530,0.2217578887939453,2.0474777448071215,0.5361328125,0.81103515625,0.673828125,0.3291015625,validation
20_0,20,0,0,craze,0,423,561,786,716,364,156,56784,0.0541534423828125,2.3333333333333335,0.58984375,0.623046875,0.35546875,0.15234375,train
21_0,21,0,0,craze,0,547,417,655,775,109,359,39131,0.03731822967529297,0.30362116991643456,0.58642578125,0.58154296875,0.1064453125,0.3505859375,validation
22_0,22,0,2,surface_injure,0,47,130,895,660,849,531,450819,0.4299345016479492,1.5988700564971752,0.45947265625,0.38525390625,0.8291015625,0.5185546875,train
23_0,23,0,4,crack,0,570,413,759,805,190,393,74670,0.07121086120605469,0.48346055979643765,0.6484375,0.59423828125,0.185546875,0.3837890625,train
24_0,24,0,0,craze,0,366,360,602,613,237,254,60198,0.05740928649902344,0.9330708661417323,0.47216796875,0.474609375,0.2314453125,0.248046875,train
