sample_id,decision,resolved_image_filename,annotation_source,include,notes,reviewer
743,pending_review,,none,False,,
744,pending_review,,none,False,,
745,pending_review,,none,False,,
746,pending_review,,none,False,,
747,pending_review,,none,False,,
748,pending_review,,none,False,,
749,pending_review,,none,False,,
750,pending_review,,none,False,,
751,pending_review,,none,False,,
752,pending_review,,none,False,,
753,pending_review,,none,False,,
755,pending_review,,none,False,,
758,pending_review,,none,False,,
759,pending_review,,none,False,,
761,pending_review,,none,False,,
762,pending_review,,none,False,,
763,pending_review,,none,False,,
764,pending_review,,none,False,,
766,pending_review,,none,False,,
767,pending_review,,none,False,,
768,pending_review,,none,False,,
769,pending_review,,none,False,,
770,pending_review,,none,False,,
771,pending_review,,none,False,,
772,pending_review,,none,False,,
773,pending_review,,none,False,,
774,pending_review,,none,False,,
775,pending_review,,none,False,,
776,pending_review,,none,False,,
777,pending_review,,none,False,,
778,pending_review,,none,False,,
779,pending_review,,none,False,,
780,pending_review,,none,False,,
781,pending_review,,none,False,,
782,pending_review,,none,False,,
783,pending_review,,none,False,,
784,pending_review,,none,False,,
785,pending_review,,none,False,,
786,pending_review,,none,False,,
788,pending_review,,none,False,,
789,pending_review,,none,False,,
790,pending_review,,none,False,,
791,pending_review,,none,False,,
792,pending_review,,none,False,,
793,pending_review,,none,False,,
794,pending_review,,none,False,,
795,pending_review,,none,False,,
796,pending_review,,none,False,,
798,pending_review,,none,False,,
799,pending_review,,none,False,,
800,pending_review,,none,False,,
801,pending_review,,none,False,,
802,pending_review,,none,False,,
803,pending_review,,none,False,,
804,pending_review,,none,False,,
805,pending_review,,none,False,,
806,pending_review,,none,False,,
807,pending_review,,none,False,,
808,pending_review,,none,False,,
810,pending_review,,none,False,,
811,pending_review,,none,False,,
812,pending_review,,none,False,,
813,pending_review,,none,False,,
814,pending_review,,none,False,,
815,pending_review,,none,False,,
816,pending_review,,none,False,,
817,pending_review,,none,False,,
819,pending_review,,none,False,,
820,pending_review,,none,False,,
821,pending_review,,none,False,,
822,pending_review,,none,False,,
823,pending_review,,none,False,,
825,pending_review,,none,False,,
826,pending_review,,none,False,,
828,pending_review,,none,False,,
829,pending_review,,none,False,,
830,pending_review,,none,False,,
831,pending_review,,none,False,,
832,pending_review,,none,False,,
833,pending_review,,none,False,,
836,pending_review,,none,False,,
837,pending_review,,none,False,,
838,pending_review,,none,False,,
840,pending_review,,none,False,,
841,pending_review,,none,False,,
842,pending_review,,none,False,,
843,pending_review,,none,False,,
844,pending_review,,none,False,,
845,pending_review,,none,False,,
846,pending_review,,none,False,,
847,pending_review,,none,False,,
848,pending_review,,none,False,,
849,pending_review,,none,False,,
850,pending_review,,none,False,,
852,pending_review,,none,False,,
853,pending_review,,none,False,,
854,pending_review,,none,False,,
855,pending_review,,none,False,,
856,pending_review,,none,False,,
857,pending_review,,none,False,,
858,pending_review,,none,False,,
859,pending_review,,none,False,,
861,pending_review,,none,False,,
862,pending_review,,none,False,,
865,pending_review,,none,False,,
866,pending_review,,none,False,,
867,pending_review,,none,False,,
868,pending_review,,none,False,,
869,pending_review,,none,False,,
870,pending_review,,none,False,,
872,pending_review,,none,False,,
873,pending_review,,none,False,,
876,pending_review,,none,False,,
877,pending_review,,none,False,,
879,pending_review,,none,False,,
881,pending_review,,none,False,,
882,pending_review,,none,False,,
884,pending_review,,none,False,,
