blocker_type,record_id,detail
identity,743,identity_pending_review
identity,744,identity_pending_review
identity,745,identity_pending_review
identity,746,identity_pending_review
identity,747,identity_pending_review
identity,748,identity_pending_review
identity,749,identity_pending_review
identity,750,identity_pending_review
identity,751,identity_pending_review
identity,752,identity_pending_review
identity,753,identity_pending_review
identity,755,identity_pending_review
identity,758,identity_pending_review
identity,759,identity_pending_review
identity,761,identity_pending_review
identity,762,identity_pending_review
identity,763,identity_pending_review
identity,764,identity_pending_review
identity,766,identity_pending_review
identity,767,identity_pending_review
identity,768,identity_pending_review
identity,769,identity_pending_review
identity,770,identity_pending_review
identity,771,identity_pending_review
identity,772,identity_pending_review
identity,773,identity_pending_review
identity,774,identity_pending_review
identity,775,identity_pending_review
identity,776,identity_pending_review
identity,777,identity_pending_review
identity,778,identity_pending_review
identity,779,identity_pending_review
identity,780,identity_pending_review
identity,781,identity_pending_review
identity,782,identity_pending_review
identity,783,identity_pending_review
identity,784,identity_pending_review
identity,785,identity_pending_review
identity,786,identity_pending_review
identity,788,identity_pending_review
identity,789,identity_pending_review
identity,790,identity_pending_review
identity,791,identity_pending_review
identity,792,identity_pending_review
identity,793,identity_pending_review
identity,794,identity_pending_review
identity,795,identity_pending_review
identity,796,identity_pending_review
identity,798,identity_pending_review
identity,799,identity_pending_review
identity,800,identity_pending_review
identity,801,identity_pending_review
identity,802,identity_pending_review
identity,803,identity_pending_review
identity,804,identity_pending_review
identity,805,identity_pending_review
identity,806,identity_pending_review
identity,807,identity_pending_review
identity,808,identity_pending_review
identity,810,identity_pending_review
identity,811,identity_pending_review
identity,812,identity_pending_review
identity,813,identity_pending_review
identity,814,identity_pending_review
identity,815,identity_pending_review
identity,816,identity_pending_review
identity,817,identity_pending_review
identity,819,identity_pending_review
identity,820,identity_pending_review
identity,821,identity_pending_review
identity,822,identity_pending_review
identity,823,identity_pending_review
identity,825,identity_pending_review
identity,826,identity_pending_review
identity,828,identity_pending_review
identity,829,identity_pending_review
identity,830,identity_pending_review
identity,831,identity_pending_review
identity,832,identity_pending_review
identity,833,identity_pending_review
identity,836,identity_pending_review
identity,837,identity_pending_review
identity,838,identity_pending_review
identity,840,identity_pending_review
identity,841,identity_pending_review
identity,842,identity_pending_review
identity,843,identity_pending_review
identity,844,identity_pending_review
identity,845,identity_pending_review
identity,846,identity_pending_review
identity,847,identity_pending_review
identity,848,identity_pending_review
identity,849,identity_pending_review
identity,850,identity_pending_review
identity,852,identity_pending_review
identity,853,identity_pending_review
identity,854,identity_pending_review
identity,855,identity_pending_review
identity,856,identity_pending_review
identity,857,identity_pending_review
identity,858,identity_pending_review
identity,859,identity_pending_review
identity,861,identity_pending_review
identity,862,identity_pending_review
identity,865,identity_pending_review
identity,866,identity_pending_review
identity,867,identity_pending_review
identity,868,identity_pending_review
identity,869,identity_pending_review
identity,870,identity_pending_review
identity,872,identity_pending_review
identity,873,identity_pending_review
identity,876,identity_pending_review
identity,877,identity_pending_review
identity,879,identity_pending_review
identity,881,identity_pending_review
identity,882,identity_pending_review
identity,884,identity_pending_review
identity,887,identity_pending_review
identity,888,identity_pending_review
identity,889,identity_pending_review
identity,890,identity_pending_review
identity,891,identity_pending_review
identity,892,identity_pending_review
identity,896,identity_pending_review
identity,897,identity_pending_review
identity,899,identity_pending_review
identity,900,identity_pending_review
identity,901,identity_pending_review
identity,902,identity_pending_review
identity,903,identity_pending_review
identity,904,identity_pending_review
identity,905,identity_pending_review
identity,906,identity_pending_review
identity,907,identity_pending_review
identity,908,identity_pending_review
identity,909,identity_pending_review
identity,910,identity_pending_review
identity,911,identity_pending_review
identity,912,identity_pending_review
identity,913,identity_pending_review
identity,914,identity_pending_review
identity,915,identity_pending_review
identity,916,identity_pending_review
identity,917,identity_pending_review
identity,918,identity_pending_review
identity,919,identity_pending_review
identity,921,identity_pending_review
