pair_id,image_a,image_b,exact_duplicate,pixel_duplicate,perceptual_distance,split_a,split_b,cross_split,annotation_class_jaccard,annotation_object_count_agreement,thumbnail_raw_mae,thumbnail_intensity_correlation,thumbnail_normalized_mae,recommended_decision,review_status,priority_rank
pair-0001,547.jpg,640.jpg,True,True,0,train,validation,True,1.0,True,0.0,1.0,0.0,exact_content,completed,1
pair-0002,565.jpg,668.jpg,True,True,0,train,train,False,1.0,True,0.0,0.9999999999999999,0.0,exact_content,completed,2
pair-0004,33.jpg,233.jpg,False,False,0,train,test,True,1.0,True,0.00047679227941176464,0.9999792988174958,0.0027270967373956385,pending_review,pending_review,3
pair-0016,188.jpg,305.jpg,False,False,0,train,validation,True,1.0,True,0.0005284926470588234,0.9999671723029248,0.00342670723461112,pending_review,pending_review,4
pair-0009,111.jpg,570.jpg,False,False,0,validation,test,True,1.0,True,0.00044615502450980375,0.9999484401194801,0.004009408022725413,pending_review,pending_review,5
pair-0031,591.jpg,974.jpg,False,False,0,test,train,True,1.0,True,0.09116019454656862,0.9999370725996208,0.007852384265186873,pending_review,pending_review,6
pair-0026,363.jpg,877.jpg,False,False,0,test,train,True,1.0,True,0.17459788602941176,0.9999235872617397,0.009575391365255707,pending_review,pending_review,7
pair-0025,332.jpg,700.jpg,False,False,0,test,train,True,1.0,True,0.0011240042892156864,0.9998948815008417,0.007076411724048362,pending_review,pending_review,8
pair-0008,106.jpg,747.jpg,False,False,0,train,validation,True,1.0,True,0.08153913909313726,0.9998928228877023,0.01098897373123194,pending_review,pending_review,9
pair-0022,276.jpg,361.jpg,False,False,0,test,train,True,1.0,True,0.0009631587009803926,0.9998782223635583,0.008688306144940362,pending_review,pending_review,10
pair-0032,696.jpg,1026.jpg,False,False,0,test,validation,True,1.0,True,0.003748276654411761,0.9998766258369468,0.00892313113228624,pending_review,pending_review,11
pair-0021,276.jpg,341.jpg,False,False,0,test,train,True,1.0,True,0.0010493259803921573,0.999867025790075,0.009304471015885656,pending_review,pending_review,12
pair-0030,529.jpg,947.jpg,False,False,0,validation,test,True,1.0,True,0.20402305453431374,0.9998608084827247,0.010827689776048224,pending_review,pending_review,13
pair-0020,276.jpg,320.jpg,False,False,0,test,train,True,1.0,True,0.0011240042892156868,0.999851226072964,0.010069300687859276,pending_review,pending_review,14
pair-0013,172.jpg,189.jpg,False,False,0,train,test,True,1.0,False,0.0009315640318627454,0.9998468482604713,0.006111502250093779,pending_review,pending_review,15
pair-0029,461.jpg,922.jpg,False,False,0,train,validation,True,1.0,True,0.18881357230392154,0.9998184965098242,0.014368931001124546,pending_review,pending_review,16
pair-0005,88.jpg,264.jpg,False,False,0,test,train,True,1.0,True,0.0012484681372549014,0.9998167117196339,0.010908080495365824,pending_review,pending_review,17
pair-0027,389.jpg,890.jpg,False,False,0,test,train,True,1.0,True,0.11072686887254904,0.9996981597612999,0.01976612461508155,pending_review,pending_review,18
pair-0003,31.jpg,196.jpg,False,False,0,train,test,True,1.0,True,0.022671568627450976,0.9996677301616557,0.018563241270059913,pending_review,pending_review,19
pair-0028,431.jpg,906.jpg,False,False,0,train,test,True,1.0,True,0.12615368412990197,0.999456393172651,0.018460084424575134,pending_review,pending_review,20
pair-0019,238.jpg,263.jpg,False,False,0,test,train,True,1.0,True,0.002720013786764706,0.9992039003283354,0.025971966905480037,pending_review,pending_review,21
pair-0006,100.jpg,191.jpg,False,False,0,validation,test,True,1.0,True,0.07296453737745098,0.9983729773881914,0.029688935342944187,pending_review,pending_review,22
pair-0012,168.jpg,780.jpg,False,False,0,train,validation,True,1.0,True,0.10632563572303923,0.9981436877255645,0.05507902118230713,pending_review,pending_review,23
pair-0015,175.jpg,856.jpg,False,False,0,test,train,True,1.0,True,0.13635110294117647,0.9974030769308967,0.05022306052051498,pending_review,pending_review,24
pair-0024,322.jpg,858.jpg,False,False,0,test,train,True,1.0,True,0.1755667892156863,0.9972898727318862,0.033130742168465926,pending_review,pending_review,25
pair-0017,191.jpg,744.jpg,False,False,0,test,train,True,1.0,True,0.19666436887254907,0.9947494013415757,0.06436732893933525,pending_review,pending_review,26
pair-0034,954.jpg,999.jpg,False,False,0,validation,test,True,1.0,True,0.0021752450980392158,0.994536226239628,0.021826609313490047,pending_review,pending_review,27
pair-0007,100.jpg,744.jpg,False,False,0,validation,train,True,1.0,True,0.19738242953431373,0.9936327659693363,0.06077614059214482,pending_review,pending_review,28
pair-0014,175.jpg,319.jpg,False,False,0,test,validation,True,1.0,True,0.06939433976715687,0.9903832101616478,0.08612817891502045,pending_review,pending_review,29
pair-0010,135.jpg,175.jpg,False,False,0,validation,test,True,1.0,True,0.06935795802696079,0.9903533930172781,0.08644944417739792,pending_review,pending_review,30
pair-0011,135.jpg,856.jpg,False,False,0,validation,train,True,1.0,True,0.12435566023284314,0.980546953314888,0.12495418816359631,pending_review,pending_review,31
pair-0023,319.jpg,856.jpg,False,False,0,validation,train,True,1.0,True,0.12432885263480394,0.9805417744163046,0.12501736972527697,pending_review,pending_review,32
pair-0033,727.jpg,1045.jpg,False,False,0,train,test,True,1.0,True,0.19415594362745098,0.980438891755097,0.12817489557207445,pending_review,pending_review,33
pair-0018,196.jpg,249.jpg,False,False,0,test,train,True,1.0,True,0.29607555912990186,0.9779020679038589,0.11513717439294424,pending_review,pending_review,34
pair-0098,710.jpg,1036.jpg,False,False,1,train,validation,True,1.0,True,0.2634191176470588,0.9999152881039088,0.010470999560581128,pending_review,pending_review,35
pair-0088,301.jpg,846.jpg,False,False,1,train,validation,True,1.0,True,0.20710784313725492,0.9999044805252706,0.010439014526245814,pending_review,pending_review,36
pair-0095,580.jpg,970.jpg,False,False,1,test,train,True,1.0,True,0.34223728553921573,0.9999018063423725,0.011593700025004698,pending_review,pending_review,37
pair-0091,379.jpg,884.jpg,False,False,1,test,train,True,1.0,True,0.2378609451593137,0.9998804634330862,0.009749931427290793,pending_review,pending_review,38
pair-0087,251.jpg,826.jpg,False,False,1,train,validation,True,1.0,True,0.1231722962622549,0.9998711955057342,0.011440543969409401,pending_review,pending_review,39
pair-0081,94.jpg,1062.jpg,False,False,1,train,validation,True,1.0,True,0.23408873314950981,0.9997535928307492,0.01690999787959585,pending_review,pending_review,40
pair-0093,486.jpg,735.jpg,False,False,1,validation,test,True,1.0,True,0.0015146292892156865,0.9996819622990198,0.01240837511230718,pending_review,pending_review,41
pair-0099,716.jpg,1040.jpg,False,False,1,train,test,True,1.0,True,0.07855679381127449,0.9996724479661087,0.016559312022181655,pending_review,pending_review,42
pair-0096,656.jpg,1005.jpg,False,False,1,validation,train,True,1.0,True,0.25063668045343135,0.9996548213663903,0.021347262873224006,pending_review,pending_review,43
pair-0084,130.jpg,762.jpg,False,False,1,train,test,True,1.0,True,0.21416877297794118,0.9996021938378268,0.01729210077092358,pending_review,pending_review,44
pair-0090,318.jpg,355.jpg,False,False,1,test,train,True,1.0,True,0.002437576593137255,0.9993941302375756,0.018660311059673234,pending_review,pending_review,45
pair-0085,143.jpg,174.jpg,False,False,1,validation,train,True,1.0,True,0.02157915900735294,0.9985655890678586,0.03336813275072721,pending_review,pending_review,46
pair-0089,316.jpg,854.jpg,False,False,1,train,test,True,1.0,True,0.141082643995098,0.9983003419064279,0.04127363726674607,pending_review,pending_review,47
pair-0083,100.jpg,794.jpg,False,False,1,validation,test,True,1.0,True,0.2817794500612745,0.997768452279774,0.04022363202316739,pending_review,pending_review,48
pair-0082,96.jpg,150.jpg,False,False,1,validation,train,True,1.0,True,0.0012771905637254898,0.9972473340201965,0.014629089269089996,pending_review,pending_review,49
pair-0075,47.jpg,80.jpg,False,False,1,train,validation,True,1.0,True,0.0021685431985294106,0.9971837087154584,0.027259834243862642,pending_review,pending_review,50
pair-0100,744.jpg,794.jpg,False,False,1,train,test,True,1.0,True,0.4791618795955882,0.9947109433501367,0.06679180551278324,pending_review,pending_review,51
pair-0076,67.jpg,1012.jpg,False,False,1,test,train,True,1.0,True,0.3573740042892158,0.989657881847543,0.06540703454866385,pending_review,pending_review,52
pair-0094,543.jpg,551.jpg,False,False,1,validation,test,True,1.0,False,0.008610026041666666,0.9870349561727906,0.05090845238650775,pending_review,pending_review,53
pair-0092,383.jpg,912.jpg,False,False,1,train,test,True,1.0,True,0.05922851562499999,0.9851794387226891,0.10561427978346792,pending_review,pending_review,54
pair-0079,81.jpg,856.jpg,False,False,1,test,train,True,1.0,True,0.08243432138480393,0.9840397669278482,0.14402007038672754,pending_review,pending_review,55
pair-0101,886.jpg,912.jpg,False,False,1,train,test,True,1.0,True,0.6881682751225491,0.9836977571342489,0.11864212409689812,pending_review,pending_review,56
