corruption_family,severity,instance_id,corrupted_image_sha256,corrupted_pixel_sha256,transformation_config_hash
brightness,mild,1017_0,a1ad0ad047ada1ddba21055aa93281a8789f0d80056f5f2e93830b504d54f236,b65a14f7ae4b47fe797987b4eb5efda97362a3c9b6c970c89d59d3ebda711f9f,a46f7c429110314b57dc8b36d01b671de5d626a6d386687c8ba1d039175755d8
brightness,mild,1017_1,259cfe22649d5de7d876feaca0a5e608e8f67e5ee63dabd39545be4bfe4efb02,d020758dfa23b96e5a0d30a63d5d406067b3fc6b18b23c496827bca26b010f1c,a46f7c429110314b57dc8b36d01b671de5d626a6d386687c8ba1d039175755d8
brightness,mild,103_0,7ee22d9e0946ce4bb0e419f5b01aa1f2c2b8c9b4db09e9dd0e98361b96aacb60,b5f8011153a0162f07129a61cca3b81b5bb45528541d4ef2e80aa78df17fa9e3,a46f7c429110314b57dc8b36d01b671de5d626a6d386687c8ba1d039175755d8
brightness,mild,112_0,f18c213aa7fc035aa76172dccf72a7e5959df6fc0452f2b0737ffc691d65a487,441c06926d0c008803bb86e31eff974aa8d336304df2f76777aa57ba3c3f23ed,a46f7c429110314b57dc8b36d01b671de5d626a6d386687c8ba1d039175755d8
brightness,mild,112_1,dec3e6d831f2522a14c90071c67a9d4b8a2a0e3a0b1429b7692f2ed810c7a74b,d33a93d2f119c4c906ec9799beb8afd6163537549a576048dcc81df667815578,a46f7c429110314b57dc8b36d01b671de5d626a6d386687c8ba1d039175755d8
brightness,mild,13_0,98c5b4999ad1032359fa8ba3f8172d5c3c4e9f5b5531508a1b66e834425b7d05,6d3f60ef0a2d8baa59c7797ccb60c69784a25b192301bc9a742eb57e44373ea6,a46f7c429110314b57dc8b36d01b671de5d626a6d386687c8ba1d039175755d8
brightness,mild,13_1,38364547162659c307a68e01d45508ec542e286d2572aaf5786babfe0b49489c,44ae44c31d1ead19d6911a6e8e2787732cdec2e049976bcfe24a681d0b111789,a46f7c429110314b57dc8b36d01b671de5d626a6d386687c8ba1d039175755d8
brightness,mild,142_0,75fa22ad30d139cbd106b9b7c259c9765b7a4096a53ee584d5a6718387ab1e7c,3ec429cc8fd2309a54a242354b76408be256ec3bcab06b1dcf6c7442f9310aac,a46f7c429110314b57dc8b36d01b671de5d626a6d386687c8ba1d039175755d8
brightness,mild,146_0,fb1642913ab05a815c2e88b27430762016b05fa4dbbd2f14f5c7320381649227,9ec0355ff5aa5d915ee75914c2d344f385cd73e07c00e6e1a19ea0ed9b20ea93,a46f7c429110314b57dc8b36d01b671de5d626a6d386687c8ba1d039175755d8
brightness,mild,156_0,b940b6c4713906c8cf838d7445de1318549f7e3a5b633a1793768fa1c6c180c4,1985b5c29cbd6b51c36abc2b342eba45dbdd016cc5d1a8eca2e6262ab4d08725,a46f7c429110314b57dc8b36d01b671de5d626a6d386687c8ba1d039175755d8
